Manual_guild_change,Kingdom,Phylum,Class,Order,Family,Genus,Guild
NA,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Scleropezicula,Unassigned
NA,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Allophylaria,Unassigned
NA,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Kabatina,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Lentinula,Unassigned
NA,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Melanommataceae,Pleotrichocladium,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Liangia,Unassigned
NA,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hamatocanthoscyphaceae,Hyalodendriella,Unassigned
NA,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,Tyrannosorus,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Postia,Unassigned
NA,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Stephanosporaceae,Stephanospora,Unassigned
NA,Fungi,Ascomycota,Pezizomycotina_cls_Incertae_sedis,Pezizomycotina_ord_Incertae_sedis,Pezizomycotina_fam_Incertae_sedis,Triscelophorus,Unassigned
NA,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Dictyosporiaceae,Pseudocoleophoma,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Gliophorus,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Rhizocybe,Unassigned
NA,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeria,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Fibroporia,Unassigned
NA,Fungi,Ascomycota,Leotiomycetes,Helotiales,Lachnaceae,Proliferodiscus,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Gloeoporus,Unassigned
NA,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Agaricostilbaceae,Pseudobensingtonia,Unassigned
NA,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Plenodomus,Unassigned
NA,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Collophora,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Gnomoniaceae,Ophiognomonia,Unassigned
NA,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Phialea,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Sordariales,Podosporaceae,Podospora,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Typhrasa,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Alutaceodontia,Unassigned
NA,Fungi,Ascomycota,Dothideomycetes,Neocelosporiales,Neocelosporiaceae,Neocelosporium,Unassigned
NA,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Hyphozyma,Unassigned
NA,Fungi,Ascomycota,Eurotiomycetes,Phaeomoniellales,Phaeomoniellaceae,Neophaeomoniella,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Brachysporium,Unassigned
NA,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Xenochalara,Unassigned
NA,Fungi,Ascomycota,Dothideomycetes,Dothideales,Zalariaceae,Zalaria,Unassigned
NA,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycodaceae,Hanseniaspora,Unassigned
NA,Fungi,Ascomycota,Leotiomycetes,Helotiales,Tympanidaceae,Flexuomyces,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Thelonectria,Unassigned
NA,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Coleophoma,Unassigned
